COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Ruff,Calidris pugnax,1,Essex,Newburyport,42.8125916,-70.8772964,1995-05-06
Boreal Chickadee,Poecile hudsonicus,1,Berkshire,Moran WMA,42.5254414,-73.0609439,1984-01-08
Pink-footed Goose,Anser brachyrhynchus,X,Barnstable,Dennis Pines Golf Course,41.731815,-70.1525116,1999-02-21
Boreal Chickadee,Poecile hudsonicus,1,Worcester,Mass Central Rail Trail and Spruce Grove,42.3848773,-71.7981698,1994-02-18
Purple Gallinule,Porphyrio martinica,1,Essex,Marblehead,42.5001,-70.85779,1996-10-01
Tufted Duck,Aythya fuligula,1,Plymouth,Great Herring Pond,41.8117554,-70.5665588,1998-01-18
Western Tanager,Piranga ludoviciana,1,Barnstable,Orleans,41.78981,-69.98976,1999-02-07
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-22
Curlew Sandpiper,Calidris ferruginea,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1992-05-23
Mississippi Kite,Ictinia mississippiensis,1,Barnstable,"Beech Forest, Provincetown",42.0670802,-70.1953679,1998-05-31
Tufted Duck,Aythya fuligula,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1975-02-23
American White Pelican,Pelecanus erythrorhynchos,1,Barnstable,Coast Guard Beach,41.8344618,-69.9453163,1990-10-06
Painted Bunting,Passerina ciris,1,Worcester,Barre,42.42289,-72.10512,1971-12-31
Lark Bunting,Calamospiza melanocorys,1,Plymouth,Stodders Neck,42.2501986,-70.9282815,1999-09-06
Townsend's Solitaire,Myadestes townsendi,1,Barnstable,East Orleans,41.78511,-69.97026,1998-12-27
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1998-08-16
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-02-01
Harris's Sparrow,Zonotrichia querula,1,Essex,Salisbury,42.84179,-70.8606,1997-02-28
Black-backed Woodpecker,Picoides arcticus,1,Middlesex,Groton,42.61119,-71.57451,1998-10-28
Northern Wheatear,Oenanthe oenanthe,1,Essex,Plum Island Airport,42.7953692,-70.8355522,1993-09-14
American White Pelican,Pelecanus erythrorhynchos,1,Plymouth,Kingston,41.9945,-70.72448,1997-07-13
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-01-18
LeConte's Sparrow,Ammospiza leconteii,1,Essex,Peabody,42.5279,-70.92869,1990-10-14
Varied Thrush,Ixoreus naevius,1,Franklin,New Salem,42.4985862,-72.3312163,1984-01-28
Pacific Loon,Gavia pacifica,1,Barnstable,Sandwich,41.75901,-70.49387,1997-12-05
Purple Gallinule,Porphyrio martinica,X,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,1980-07-18
Mew Gull,Larus canus,1,Essex,Newbury,42.7659598,-70.8451008,1996-03-27
Western Tanager,Piranga ludoviciana,1,Plymouth,Marshfield,42.0918,-70.70558,1999-01-02
Boreal Chickadee,Poecile hudsonicus,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1975-11-01
Boreal Chickadee,Poecile hudsonicus,5,Suffolk,Arnold Arboretum,42.3051491,-71.1226591,1976-01-15
Northern Wheatear,Oenanthe oenanthe,1,Hampshire,Northampton,42.32509,-72.64123,1993-09-19
Boreal Chickadee,Poecile hudsonicus,1,Barnstable,Truro,41.9934,-70.04977,1994-04-14
American White Pelican,Pelecanus erythrorhynchos,1,Plymouth,Scituate,42.1959,-70.72589,1997-07-18
Tufted Duck,Aythya fuligula,1,Plymouth,Plymouth,41.9584007,-70.6672821,1998-02-04
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-30
Tundra Swan,Cygnus columbianus,1,Hampshire,Northampton,42.32509,-72.64123,1991-03-30
Franklin's Gull,Leucophaeus pipixcan,1,Barnstable,East Orleans,41.78511,-69.97026,1977-09-04
LeConte's Sparrow,Ammospiza leconteii,1,Bristol,North Attleboro,41.9834,-71.3328,1994-10-20
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-23
Townsend's Warbler,Setophaga townsendi,1,Middlesex,Framingham,42.2793007,-71.4162064,1987-12-29
Tundra Swan,Cygnus columbianus,1,Middlesex,Hammond Pond,42.3240318,-71.1702919,1997-03-02
American White Pelican,Pelecanus erythrorhynchos,2,Barnstable,Falmouth,41.55151,-70.61477,1996-11-10
Tundra Swan,Cygnus columbianus,1,Essex,Ipswich,42.67929,-70.84119,1983-01-02
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-01-23
Ruff,Calidris pugnax,1,Suffolk,Belle Isle Marsh Reservation,42.3910639,-70.9930195,1999-05-03
LeConte's Sparrow,Ammospiza leconteii,1,Hampshire,LARCH HILL CONSERVATION AREA-AMHERST,42.3596499,-72.5223666,1991-12-08
Fork-tailed Flycatcher,Tyrannus savana,1,Nantucket,Nantucket,41.2834206,-70.0994568,1982-09-16
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1997-02-08
Eared Grebe,Podiceps nigricollis,1,Essex,Niles Beach,42.5976396,-70.6550503,1997-12-21
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,St Bernards Cemetery,42.463505,-71.3395793,1990-05-03
Varied Thrush,Ixoreus naevius,2,Essex,Annisquam,42.65839,-70.67729,1998-11-30
Rufous Hummingbird,Selasphorus rufus,1,Hampden,"Holyoke, MA",42.2132623,-72.6361084,1992-11-27
American White Pelican,Pelecanus erythrorhynchos,1,Essex,Parker River NWR,42.7639008,-70.8022995,1997-07-21
Boreal Chickadee,Poecile hudsonicus,3,Hampshire,Fischer Residence,42.3749127,-72.5155659,1969-12-28
Green-tailed Towhee,Pipilo chlorurus,1,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,1979-10-30
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1996-10-19
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1971-01-02
Varied Thrush,Ixoreus naevius,1,Essex,Locust Grove Cemetery,42.6834134,-70.6469393,1990-01-10
Lark Bunting,Calamospiza melanocorys,1,Essex,Parker River NWR,42.7639008,-70.8022995,1965-10-31
Tundra Swan,Cygnus columbianus,9,Dukes,Squibnocket,41.30701,-70.77447,1994-12-06
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-25
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1998-03-19
Gull-billed Tern,Gelochelidon nilotica,1,Barnstable,Chatham,41.68201,-69.95976,1998-09-18
Black-backed Woodpecker,Picoides arcticus,1,Worcester,West River Street,42.1535733,-71.6118693,1990-12-15
American White Pelican,Pelecanus erythrorhynchos,1,Essex,Parker River NWR,42.7639008,-70.8022995,1997-08-23
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-01-10
Tundra Swan,Cygnus columbianus,1,Middlesex,Hammond Pond,42.3240318,-71.1702919,1997-03-15
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Plymouth,Cumberland Farms,41.945,-70.879,1995-11-04
Mew Gull,Larus canus,1,Suffolk,"Lewis Lake Park, Winthrop",42.3742711,-70.9754562,1998-03-15
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1998-06-17
Ruff,Calidris pugnax,1,Plymouth,"Model Airplane Field, West Bridgewater",42.0012181,-71.0292721,1998-05-10
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1995-11-25
Mississippi Kite,Ictinia mississippiensis,1,Barnstable,Orleans,41.78981,-69.98976,1997-06-04
White-faced Ibis,Plegadis chihi,1,Essex,Essex,42.63199,-70.78279,1984-04-24
