COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	STATE	COUNTY	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID
Tundra Swan	Cygnus columbianus	1	Massachusetts	Barnstable	Mashpee	41.64841	-70.48117	1/3/1995	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampden	Ashley Reservoir	42.1752583	-72.6591222	4/7/1997	obsr22491
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/17/1997	obsr138346
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Newton	42.337	-71.2092	3/1/1997	obsr306774
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Melrose	42.4584	-71.0662	11/1/1996	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Magnolia	42.5746708	-70.7125568	2/18/1974	obsr52135
Tundra Swan	Cygnus columbianus	1	Massachusetts	Worcester	Worcester	42.26259	-71.80232	1/1/1999	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	Lakeville	41.8459	-70.94949	1/8/1999	obsr339145
Tundra Swan	Cygnus columbianus	3	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	1/1/1999	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Newton	42.337	-71.2092	3/1/1997	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Worcester	Lake Quinsigamond	42.2754247	-71.7589782	1/3/1999	obsr99544
Tundra Swan	Cygnus columbianus	1	Massachusetts	Berkshire	Bartholomew's Cobble (TTOR)	42.0575	-73.3508	1/27/1966	obsr236627
Tundra Swan	Cygnus columbianus	1	Massachusetts	Bristol	Acoaxet	41.507	-71.09669	11/19/2000	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Bristol	Acoaxet	41.507	-71.09669	12/3/2000	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Bristol	Acoaxet	41.507	-71.09669	12/1/2000	obsr347747
Tundra Swan	Cygnus columbianus	4	Massachusetts	Bristol	Acoaxet	41.507	-71.09669	11/18/2000	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	West Bridgewater	42.0163968	-71.0111618	4/12/2001	obsr91307
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	West Bridgewater	42.018	-71.008	4/22/2001	obsr436977
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	West Bridgewater	42.019	-71.00779	4/7/2001	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	West Bridgewater	42.019	-71.00779	4/22/2001	obsr339145
Tundra Swan	Cygnus columbianus	4	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	2/26/2002	obsr339145
Tundra Swan	Cygnus columbianus	4	Massachusetts	Plymouth	Marion	41.7001	-70.76278	3/2/2002	obsr339145
Tundra Swan	Cygnus columbianus	2	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	11/24/2002	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Berkshire	Pontoosuc Lake	42.4958967	-73.2485962	11/17/2002	obsr339145
Tundra Swan	Cygnus columbianus	4	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	2/24/2002	obsr339145
Tundra Swan	Cygnus columbianus	4	Massachusetts	Hampden	Southwick	42.05479	-72.77034	4/19/2003	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	10/31/1996	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	West Boylston	42.36679	-71.78562	1/31/1995	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Barnstable	Bourne	41.74121	-70.59888	2/10/1970	obsr39970
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	4/15/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	1/22/1998	obsr97944
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	2/12/1997	obsr295862
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Salisbury Beach State Reservation	42.8268013	-70.8180008	3/7/1975	obsr39368
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	11/7/1999	obsr339145
