common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
South Polar Skua,Stercorarius maccormicki,1,Massachusetts,Nantucket,Oceanographer Canyon,40.3337068,-68.1350372,10/3/2004,obsr339145,0101000020E6100000946F1173A40851C0F63988E7B62A4440
Pacific Loon,Gavia pacifica,1,Massachusetts,Dukes,Chappaquiddick,41.38732,-70.50447,5/23/2004,obsr339145,0101000020E61000000AF4893C49A051C01A8BA6B393B14440
Tundra Swan,Cygnus columbianus,1,Massachusetts,Franklin,Quabbin Reservoir--Gate 33,42.5102924,-72.2835588,5/1/2004,obsr339145,0101000020E61000008D1FCFD3251252C0DCB2E84251414540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Bristol,Swansea,41.7482,-71.18979,1/2/2004,obsr339145,0101000020E6100000E7C6F48425CC51C0006F8104C5DF4440
Varied Thrush,Ixoreus naevius,1,Massachusetts,Middlesex,Annursnac Hill Arae,42.4769533,-71.3940537,12/31/2004,obsr39522,0101000020E61000008A97022D38D951C0119C44CE0C3D4540
Black-throated Gray Warbler,Setophaga nigrescens,1,Massachusetts,Essex,Nahant--Bailey's Hill Park,42.4202964,-70.9311569,11/17/2004,obsr133132,0101000020E6100000773C1C1398BB51C03250BE45CC354540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Hampshire,Quabbin Summit,42.2992418,-72.3336129,2/20/2004,obsr48301,0101000020E610000085C1EBE9591552C04F4C288E4D264540
Black-throated Gray Warbler,Setophaga nigrescens,1,Massachusetts,Essex,Nahant--Bailey's Hill Park,42.4202964,-70.9311569,11/24/2004,obsr133132,0101000020E6100000773C1C1398BB51C03250BE45CC354540
Say's Phoebe,Sayornis saya,1,Massachusetts,Dukes,Chappaquiddick,41.38732,-70.50447,10/3/2004,obsr339145,0101000020E61000000AF4893C49A051C01A8BA6B393B14440
Tufted Duck,Aythya fuligula,1,Massachusetts,Plymouth,Pembroke,42.0715,-70.80919,4/11/2004,obsr339145,0101000020E61000000490DAC4C9B351C0FED478E926094540
Say's Phoebe,Sayornis saya,1,Massachusetts,Worcester,Lunenburg,42.59449,-71.72452,10/13/2004,obsr216617,0101000020E6100000115322895EEE51C047E6913F184C4540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Essex,MA ESS Gloucester,42.5927888,-70.6559404,3/6/2004,obsr16544,0101000020E6100000038871EDFAA951C0B1B7DE80E04B4540
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Barnstable,Bourne,41.74121,-70.59888,5/29/2004,obsr339145,0101000020E61000009F8EC70C54A651C0EDBB22F8DFDE4440
Western Tanager,Piranga ludoviciana,1,Massachusetts,Barnstable,Brewster (private residence),41.7578444,-70.082295,2/16/2004,obsr202332,0101000020E6100000F5673F52448551C077BA980B01E14440
Varied Thrush,Ixoreus naevius,1,Massachusetts,Franklin,Quabbin Reservoir Watershed,42.3913889,-72.3452778,2/24/2004,obsr88103,0101000020E61000003BC20E08191652C03BC20E0819324540
Tufted Duck,Aythya fuligula,1,Massachusetts,Plymouth,Pembroke,42.0715,-70.80919,4/16/2004,obsr339145,0101000020E61000000490DAC4C9B351C0FED478E926094540
Pacific Loon,Gavia pacifica,1,Massachusetts,Dukes,Menemsha,41.35181,-70.76417,4/27/2004,obsr339145,0101000020E610000065A54929E8B051C0F0332E1C08AD4440
South Polar Skua,Stercorarius maccormicki,1,Massachusetts,Nantucket,Oceanographer Canyon,40.3337068,-68.1350372,10/2/2004,obsr339145,0101000020E6100000946F1173A40851C0F63988E7B62A4440
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Norfolk,Quincy,42.2529,-71.00229,6/10/2004,obsr339145,0101000020E6100000E7C6F48425C051C04694F6065F204540
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Norfolk,Quincy,42.2529,-71.00229,6/8/2004,obsr339145,0101000020E6100000E7C6F48425C051C04694F6065F204540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Hampshire,"Quabbin Reservoir, MA",42.2874689,-72.3319244,2/20/2004,obsr148776,0101000020E6100000A5AFD63F3E1552C0FD0EEAC7CB244540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Middlesex,Concord 2004 Varied Thrush,42.4775413,-71.3955331,12/31/2004,obsr18764,0101000020E6100000123F106A50D951C0A2FEC412203D4540
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Massachusetts,Essex,Swampscott STFL,42.4725242,-70.8860743,11/27/2005,obsr18764,0101000020E6100000DF14FB70B5B851C0C7C848AC7B3C4540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Berkshire,Sheffield,42.11039,-73.35516,1/2/2005,obsr339145,0101000020E61000003B3602F1BA5652C019E76F42210E4540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Suffolk,Back Bay Fens,42.3421784,-71.0940528,12/8/2005,obsr44024,0101000020E6100000390609F604C651C0E5B27680CC2B4540
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Hampshire,South Hadley,42.25839,-72.57453,10/30/2005,obsr339145,0101000020E610000089247A19C52452C085CE6BEC12214540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Franklin,"New Salem, West Street Residence",42.4880541,-72.3449804,12/14/2005,obsr197433,0101000020E6100000B4F0AB28141652C0E016878E783E4540
